Varchar(150),Varchar(150),Varchar(150),INT,Varchar(6),Varchar(50),Varchar(35),nvarchar(50),nvarchar(50),nvarchar(50),nvarchar(50),Varchar(50),,,Bit,"numeric(18,2)","numeric(18,2)",int,"numeric(18,2)",,Varchar(15)
SHRIRAM VINYL & CHEMICAL INDUSTRIES, , ,KOTA,324001,bhatnagarengineers@yahoo.com, ,,,,,1001072,MG04,Distributor,,1,0,,,,
MAHARASHTRA STATE POWER GENERATION, , ,CHANDRAPUR,442404,sathyanarayanan.n@eed.bgrenergy.com,8411888368,,,,,1001074,MG04,Distributor,,1,0,,,,
THERMAL POWERTECH CORPORATION LTD,2X660 MW STPP  KRISHNAPATNAM, ,NELLURE,524344,saravanan.b@eed.bgrenergy.com, ,,,,,1001136,MG04,Distributor,,1,0,,,,
MANGALMURTI BUILDCON,ANAND NAGAR  PLOT NO:13  SURVEY NO:40-1/B NH-4 , ,GODOLI,415001,shrimangalmurtidevelopers@gmail.com, ,,,,,1001267,MG02,Distributor,,1,0,,,,
G K TRADER,PLOT NO.01 & 02  ANAND NAGAR PHASE II BACK SIDE TITAN WATCH, ,HOSUR,635126, , ,,,,,1001268,MG11,Distributor,,1,-14511,,,,
RELIANCE UTILITIES AND POWER PVT. L,C/O RELIANCE INDUSTRIES LIMITED, ,HAZIRA,394510,girish.purohit@ril.com, ,,,,,1001269,MG04,Distributor,,1,-1320938,,,,
SOBHA PROJECTS & TRADE PVT. LTD.,NO:23/1  SONNENAHALLI VILLAGE, ,BANGLORE,560048,sptl@sobhaprojects.com, ,,,,,1001270,MG13,Distributor,,1,-7193408,,,,
TRIDENT LIMITED - TOWEL,MANSA ROAD  DHAULA  BARNALA, ,BARNALA,148101,asanengineers@gmail.com, ,,,,,1001271,MG04,Distributor,,1,0,,,,
WELIGAMA HOTEL PROPERTIES LTD,NO. 12-01 EAST TOWER  WORLD TRADE CENTRE , ,COLOMBO,1, , ,,,,,2000026,MG05,Distributor,,1,0,,,,
STATIC COMPANY PVT LTD.,M.HURAA  FAREEDHEE MAGU  , ,MALE,20256,aquareef.admin@static-company.com, ,,,,,2000029,MG05,Distributor,,1,0,,,,
NANDANI SALES CORPORATION,BLOCK - J SHOP NO-10  P.C.MITTAL BU, ,SILIGURI,734001,nandanisalescorporations@gmail.com, ,,,,,1000875,MG08,Distributor,,1,276288,,,,
SRI VENKATESHWARA TRADERS,BANDELISHETTY STREET GIRMAJIPET  WA, ,WARANGAL,506002, , ,,,,,1000876,MG08,Distributor,,1,3490,,,,
LABH ELECTRIC,CINEMA ROAD CHEEKA DISTT.KAITHAL  C, ,KAITHAL,136034, , ,,,,,1000877,MG08,Distributor,,1,11948,,,,
MANGALA ENTERPRISES,OLD BAZAR PETH  TAL-CHIKODI DIST-BE, ,SADALGA,591239, , ,,,,,1000878,MG03,Distributor,,1,-273414,,,,
SHREE KRISHNA ENTERPRISE,401 ABHISHEK PLAZA  B/H NAV GUJARAT, ,AHMEDABAD,380014,info@skepumps.com, ,,,,,1000879,MG08,Distributor,,1,-9661,,,,
MEJA URJA NIGAM PVT. LTD.,A/C BRIDGE AND ROOF CO.(INDIA) LTD., ,MEJA,212301, , ,,,,,1000880,MG04,Distributor,,1,0,,,,
SRI ADITHYA AGENCIES,23-6-77/12 HUNTER ROAD  SHYAMPET , ,WARANGAL,506002,aditya.warangal@gmail.com, ,,,,,1000881,MG01,Distributor,,1,-25467,,,,
TRIVENI ENGINEERING & INDUSTRIES LT,1 2 &3 BELAGOLA INDUSTRIAL AREA  KR, ,MYSORE,570016, , ,,,,,1000882,MG04,Distributor,,1,-76166,,,,
SRI BALAJI MARKETING AGENCIES,D.NO:39-24-38/1 ADJ. TO WATER TANK , ,VISAKHAPATNAM,530007, ,9491956395,,,,,1000883,MG01,Distributor,,1,-1128395,,,,
NEW VENKATA RAMANA ELECTCAL & ENG.,THORRUR (M)   WARANGAL (DIST.)  TEL, ,HYDERABAD,506163, , ,,,,,1000884,MG08,Distributor,,1,1928,,,,
RELIANCE INDUSTRIES LIMITED,NAGOTHANE MANUFACTURING DIVISION  S, ,NAGOTHANE,402125, , ,,,,,1000885,MG04,Distributor,,1,0,,,,
SHA.J.M.KATARIYA,66 OLD MONDHA MARKET  NR.JPC BANK(B, ,JALNA,431203, ,9422215436,,,,,1000886,MG02,Distributor,,1900000,-233644,,,,
PUNAM ENTERPRISES,AT/P -JAULAKE (WANI)  TAL- DINDORI , ,JAULAKE,422209, , ,,,,,1000887,MG08,Distributor,,1,6895,,,,
BHARATH HARDWARES,CHERKALA P.O.  CHENGALA , ,KASARAGOD,671541, , ,,,,,1000888,MG06,Distributor,,1,836,,,,
KRIPA RAM SOHNA MAL,KABUTAR CHOWK RAILWAY STATION  KAIT, ,KAITHAL,136027,naveenbhutani.nb@gmail.com, ,,,,,1000889,MG08,Distributor,,1,13270,,,,
SIEMENS LIMITED,INFRASTRUCTURE & CITIES SECTOR  BUI, ,CHENNAI,600008,vijayakumar.s@siemens.com, ,,,,,1000890,MG09,Distributor,,1,0,,,,
TRISTAR,D.NO:14-1-9 1ST FLOOR NOWROJI ROAD , ,VISAKHAPATNAM,530002,tristarfirepro@yahoo.com,9951308899,,,,,1000891,MG01,Distributor,,1,-1875,,,,
JAIMAL LIFESTYLE, , ,ROURKELA,769001,bathgalleryrkl@gmail.com, ,,,,,1000893,MG08,Distributor,,1,0,,,,
ANUSHA ELECTRICALS,SHOP NO # 12-21/A L.S.C.S. COMPLEX , ,WYRA,507165, , ,,,,,1000896,MG08,Distributor,,1,10090,,,,
PHIROZE KARAKA & CO.,HOUSE NO. 301/A-43 KERANT  CARANZAL, ,PANAJI,403002,karaka@vsnl.net, ,,,,,1000897,MG10,Distributor,,1,-60572,,,,
CALCUTTA TUBE CENTRE,# 12/3 S.P.ROAD , ,BANGALORE,560002,info@calcuttatubecentre.com,9341246981,,,,,1000136,MG03,Distributor,,11800000,-1751053.84,,,,
CONSOLIDATED CONSTRUCTION CONSORTIU,"TC:13/180 ""THULASI BHAVAN""  NALLUMU", ,THIRUVANANTHAPURAM,695024, , ,,,,,1000138,MG06,Distributor,,1,-41011,,,,
CHIRAYATH MARKETING,MUTTUNGAL ROAD NEAR ALAYAKKAD VISHN, ,MALAPPURAM,679322,aragritechvkm@gmail.com, ,,,,,1000139,MG06,Distributor,,1,0,,,,
CHIRAYATH ASSOCIATES,MANATHUMANGALAM JN.  OOTY ROAD PERI, ,PERINTHALMANNA,679322,chirayath_chirayath@yahoo.com,9447927259,,,,,1000140,MG06,Distributor,,3000000,-4136348.32,,,,
ICRE TRADING CORPORATION,SHUBHAM CENTREONE OFFICE NO. 1  RIN, ,KAGAL,416216,icretc@rediffmail.com,8108444369,,,,,1000164,MG02,Distributor,,1,-212907,,,,
JAY ESS HYDROPOWER CO.,KSHETRA MANDIR NEAR OBC  AGRA GATE, ,FIROZABAD,283203,sharadjmt@gmail.com, ,,,,,1000274,MG07,Distributor,,1,14053,,,,
MAHESHWARI TRADERS,SANJAY COMPLEX  KHALHRODNAKA MANDI , ,JAORA,457226,kamalsarda807@gmail.com,9827300565,,,,,1000394,MG08,Distributor,,1,45358,,,,
RAJPUT ENTERPRISES,414 INDRA NAGAR  OPP. SHISHU RAJ SC, ,BAREILLY,243122,rajput_manoj68@yahoo.co.in,94122916639,,,,,1000511,MG07,Distributor,,1500000,1500,,,,
SRI MAHALAKSHMI AGENCIES,35-9-1 KASPA GOLLA VEEDHI , ,RAJAHMUNDR,533101,mahalakshmiagencies.rjy@gmail.com,9440350813,,,,,1000640,MG01,Distributor,,2500000,-1939258.97,,,,
TRIVENI ENGINEERING & INDUSTRIES LT,A-44  HOSIERY COMPLEX  PHASE II EXT, ,GAUTAMBUDDHNAGAR,201305, , ,,,,,1000753,MG04,Distributor,,1,-347552.84,,,,
KEERTI ENTERPRISES,YASH PLAZA NEAR SHIVNERI GATE KAVA, ,LATUR,413512,anupdevnikar@gmail.com,9960617755,,,,,1000898,MG08,Distributor,,1,54093,,,,
KRISHNA SALES CORPORATION,UTTAR GOBINDANAGAR (GOURA) , ,PASCHIM MIDNAPORE,721146,sroy9696@gmail.com,74075771187,,,,,1001027,MG08,Distributor,,1,116122,,,,
INDIAN OIL CORPORATION LIMITED, , ,BEGUSARAI,851114,purchase@aquadesigns.in, ,,,,,1001077,MG04,Distributor,,1,0,,,,
MONDELEZ INDIA FOODS PVT LTD.-U-I,H.No. 199 VILLAGE SANDOLI  TEHSIL N, ,BADDI,173205,rakesh.gupta2@mdlz.com,9318070204,,,,,1001249,MG07,Distributor,,1,0,,,,
TRIL INFO PARK LIMITED,IT / ITES  SPECIAL ECONOMIC ZONE RA, ,CHENNAI,600113, , ,,,,,1001250,MG09,Distributor,,1,0,,,,
ETA ENGINEERING PVT LTD.,71/63  STERLING ROAD  OPPSITE OF LO, ,CHENNAI,600034,chennaipurchase@eta-engg.com,9600018820,,,,,1001251,MG09,Distributor,,1,-1530088,,,,
AST ENTERPRISES,80/80  COPER GANJ, ,KANPUR,208001,astenterprises9@gmail.com, ,,,,,1001254,MG07,Distributor,,1,75053,,,,
AGRAWAL TRADING COMPANY,NEAR YATRI HOTEL, ,GOPALGANJ,841428,agrawaltrading@india.com, ,,,,,1001255,MG08,Distributor,,1,100000,,,,
ASSOCIATED TRADERS,ADAT BAZAR , ,VIJAYPUR,586101,associated.bjp@gmail.com,9448192991,,,,,1001256,MG03,Distributor,,1,-467904,,,,
BHARAT HEAVY ELECTRICALS LIMITED,SITE INCHARGE BHEL SITE OFFICE  NOR, ,CHENNAI,600102, , ,,,,,1000119,MG04,Distributor,,1,-14406,,,,
BHARAT ELECTRIC & MACHINERY STORE,SALARPUR ROAD , ,KURUKSHETRA,136118,bpmkkr@yahoo.in, ,,,,,1000120,MG08,Distributor,,1,540,,,,
BLUE STAR LTD.,BLUE STAR HOUSE 9-A GHATKOPAR LINK, ,MUMBAI,400072,prachikelkar@bluestarindia.com, ,,,,,1000121,MG10,Distributor,,1,-4859395,,,,
BHARAT HEAVY ELECTRICALS LIMITED,(A GOVERNMENT OF INDIA UNDERTAKING), ,VADODARA,390007, , ,,,,,1000122,MG09,Distributor,,1,3501,,,,
BROTHERS PAINTS & HARDWARE,G-138 TIRUPATI BAZZAR  SIDHPUR CHAR, ,PATAN,384265,brotherspaintsandhardware@gmail.com, ,,,,,1000123,MG08,Distributor,,1,39499,,,,
BALA PIPES,TAS ACCARD 19/313-P3 3A P4  CHEMBAK, ,CALICUT,673002,balapipes@gmail.com, ,,,,,1000124,MG06,Distributor,,1,-1582472,,,,
BERGER PAINTS (I) LTD.,(BRITISH PAINTS DIVISION) PLOT NO., ,HINDUPUR,515201,klal@britishpaints.in, ,,,,,1000125,MG01,Distributor,,1,0,,,,
CHANDWANI CERAMICS,119/6 SHIROLI NEAR PARSHWNATH STEEL, ,KOLHAPUR,416122,dilipchandwani1111@gmail.com,9822066111,,,,,1000126,MG02,Distributor,,2000000,-431682.3,,,,
CHOUDHARY TRADERS,MASAN GANJ , ,BILASPUR,495001,choudhary.tr@gmail.com,9300305666,,,,,1000127,MG08,Distributor,,2100000,50989.26,,,,
CHANDWANI CERAMICS (CHALKARANJI),8/9 DEVRATNA COMPLEX KHANJIRE MALA , ,KOLHAPUR,416115,ravichawla0205@gmail.com,9822250090,,,,,1000128,MG02,Distributor,,1500000,-967805,,,,
CHEMPLAST SANMAR LIMITED,PLANT THROUGH AQUATECH SYSTEMS PVT., ,SALEM,636403, , ,,,,,1000129,MG04,Distributor,,1,0,,,,
CERAMICS ENTERPRISES,103 KALYAANI COMPLEX 1ST FLOOR  EXH, ,PATNA,800001,ceramicenterprises1@yahoo.com,9431021024,,,,,1000130,MG08,Distributor,,2000000,-4565457.81,,,,
CITY PIPES,NO. 115/XVI B.D.C.C. BANK ROAD  NEH, ,BELLARY,583101, , ,,,,,1000131,MG03,Distributor,,1,0,,,,
CHIRAG IRRIGATION,GARDEN AREA 1ST CROSS , ,SHIMOGA,577201, ,9845587127,,,,,1000132,MG03,Distributor,,1,0,,,,
CETHAR VESSELS LIMITED,NO.4  DINDIGUL ROAD , ,TIRUCHIRAPPALLI,620001, , ,,,,,1000133,MG04,Distributor,,1,89412,,,,
CHERRY ENTERPRISES,45 FT. ROAD  NEW SHAKTI NAGAR  AMRI, ,BHATINDA,151001,nareshmangla@gmail.com,98143295629,,,,,1000134,MG07,Distributor,,2000000,-587090.51,,,,
CHEMTECH AGENCIES (GODOWN & WARE,S.F.NO.170/2 & 170/3  PRIVATE INDUS, ,COIMBATORE,641021,balaji@chemtech.net.in,9944945440,,,,,1000135,MG04,Distributor,,1,-2830961,,,,
CERAWORLD,738/3 KOLHPUR SANGLI ROAD  MARBLE L, ,SHIROLI,416122,anilchandwani1111@gmail.com, ,,,,,1000137,MG02,Distributor,,1000000,-418525,,,,
CHABRA SANITATION & TILES,BINODPUR, ,KATIHAR,854105,chhabrasanitation@yahoo.in, ,,,,,1000141,MG08,Distributor,,1,0,,,,
COLT ENTERPRISES,4/694 NEDUPARAMBIL BUILDING  VIYYOO, ,THRISSUR,680010,coltenterprises@ymail.com, ,,,,,1000142,MG04,Distributor,,1,-21794,,,,
DEVSONS SANITATIONS,SANOLI ROAD , ,PANIPAT,132103, , ,,,,,1000165,MG07,Distributor,,1,0,,,,
DGM (FINANCE) THERMAL,RAICHUR THERMAL POWER STATION  KPCL, ,SHAKTHINAGAR,584170,guldasavinash@gmail.com,9945207050,,,,,1000166,MG04,Distributor,,1,26500,,,,
DHARAMDEV TANK AGENCY,344 SAKET COLONY, ,MUZAFFARNAGAR,251001, ,9412711458,,,,,1000167,MG07,Distributor,,1,0,,,,
DRIPLEX WATER ENGINEERING LIMITED,C/O.DM & CPU PLANT  GAIL PETROCHEMI, ,GUNA,473112, , ,,,,,1000168,MG04,Distributor,,1,0,,,,
DHARMDEV TILES & STONE COMPANY,304/1 SAKET COLONY, ,MUZAFFARNAGAR,251001, ,9412711458,,,,,1000169,MG07,Distributor,,1000000,-42425,,,,
DAVID MANGAN,MANGAN HOUSE  PALLISSERY ARATTUPUZH, ,THRISSUR,680562,balapipes@gmail.com, ,,,,,1000170,MG06,Distributor,,1,-1410,,,,
DEBONAIR REALTORS PVT. LTD.,# 3 4TH FLOOR  SALARPURIA WINDSOR, ,BANGALORE,560042, , ,,,,,1000171,MG03,Distributor,,1,-239872,,,,
DURGA HARDWARE,NO.4777 SN BOJAPPA BUILDING BETTDAP, ,MYSORE,571107,ghanshyam.lal10@gmail.com, ,,,,,1000172,MG03,Distributor,,1,124948,,,,
ESWARA ENTERPRISES,NO: 1272 OLD SBM BUILDING  P B ROAD, ,HARIHAR,577601,eswaraent@gmail.com,9448389544,,,,,1000173,MG03,Distributor,,1000000,-44665.48,,,,
ETA ENGINEERING PVT. LTD.,ETA HOUSE B36  ITI ANCILLARY INDUST, ,BANGALORE,560048, , ,,,,,1000174,MG03,Distributor,,1,-134178,,,,
ETA ENGINEERING PVT.LTD.,SECTOR-14 MEHRAULI ROAD , ,GURGAON,122001, , ,,,,,1000175,MG08,Distributor,,1,-1065918,,,,
ERA TRADECOM PRIVATE LIMITED,N-135/ 135-111A  BRIJ ENCLAVE SUNDE, ,VARANASI,221005,rajesh_kunwar@yahoo.com, ,,,,,1000176,MG07,Distributor,,1000000,-2646170,,,,
FAIR MARKETING & SERVICES P.LTD.,319/  SYNDICATE HOUSE  INDERLOK , ,NEW DELHI,110035, , ,,,,,1000177,MG07,Distributor,,1,-20000,,,,
FEDERAL MOGUL GOETZE (I) LTD,RAJPURA ROAD  BAHADURGARH, ,PATIALA,147001, , ,,,,,1000178,MG04,Distributor,,1,0,,,,
FIREPRO SYSTEMS PVT LTD.,2/226 OM SHAKTHI PLAZA SILPAUK GARD, ,CHENNAI,600010,chennai@fireprosystems.com, ,,,,,1000179,MG09,Distributor,,1,26077.4,,,,
FELIX INDUSTRIES PVT. LIMITED,208 DEVSHRUTI COMPLEX  OPP. MEDISUR, ,AHMEDABAD,380006,ritesh.patel@felixindustries.co, ,,,,,1000180,MG04,Distributor,,1,-1424596,,,,
FONTUS WATER PVT. LIMITED,A-1/152 IGNOU ROAD  NEB SARAI NEW D, ,DELHI,110068, , ,,,,,1000181,MG04,Distributor,,1,0,,,,
GUDEKOTA TRADERS,217/V.BANGLORE ROAD  ., ,BELLARY,583101,gudekotatraders@gmail.com, ,,,,,1000185,MG03,Distributor,,1000000,-1410,,,,
GOMTI SANITARY STORES,HAMAYUNPUR(NORTH), ,GORAKHPUR,273001, , ,,,,,1000187,MG07,Distributor,,1500000,-818993,,,,
GULBRANDSEN TECHNOLOGIES (INDIA) PV,761/A JHAGADIA INDUSTRIAL ESTATE  N, ,BHARUCH,393110, , ,,,,,1000188,MG04,Distributor,,1,-102664,,,,
FUTECH PROJECTS (INDIA) PVT. LTD.,105 SHOPPING CENTRE POCKET-J  SARIT, ,NEW DELHI,110076, ,9873018767,,,,,1000182,MG07,Distributor,,1,9119,,,,
GEETA ENTERPRISE,NEAR GEETA MANDIR  PRATAPNAGAR ROAD, ,VADODARA,390004,geetaent@yahoo.com,9825037668,,,,,1000183,MG08,Distributor,,20000000,-7896317.44,,,,
GUNDI MARKETING,P.O.BOX NO.1 G.M.SHARANAPPA BLDG.  , ,HUBLI,580020,gundimarketing@ymail.com,9845851789,,,,,1000184,MG03,Distributor,,1000000,92443.96,,,,
GEETA ENTERPRISE - SILIGURI,JAHAR MANSION OPP.SANI MANDIR  NEAR, ,SILIGURI,734001,nangalia_nk@yahoo.co.in, ,,,,,1000186,MG08,Distributor,,12500000,-12676766.02,,,,
BANK NOTE PAPER INDIA PRIVATE LIMIT,NOTE MUDRAN NAGAR, ,MYSORE,570003,ganeshrokade@voltas.com, ,,,,,1001199,MG04,Distributor,,1,0,,,,
SREE MARUTHI AGENCIES,7/7/1  KOILAKUNTLA ROAD , ,ALLAGADDA,518543, , ,,,,,1001200,MG08,Distributor,,1,399,,,,
ORETH ENGINEERING CO,3/172 ELAHI NAGAR MAIN ROAD , ,KANCHIPURAM,601301,oreth112@gmail.com, ,,,,,1001201,MG09,Distributor,,1,-3902362,,,,
SPR RG CONSTRUCTIONS PVT LTD,NO.17  CHETTIYAR AGARAM ROAD, ,CHENNAI,600116,samuel@sprrg.com,9094005067,,,,,1001202,MG09,Distributor,,1,16649,,,,
TRIVENI ENGINEERING & INDUSTIRES LT,(A/C NTPCS  KUDGI  SUPER THERMAL PO, ,BIJAPUR,586121,aktyagi@projects.trivenigroup.com, ,,,,,1001203,MG04,Distributor,,1,0,,,,
ASIAN COLOUR COATED ISPAT LTD,PLOT NO.7-12 SECTOR-6 HSIIDC  GROWT, ,REWARI,123501,asanengineers@gmail.com, ,,,,,1001204,MG04,Distributor,,1,0,,,,
ASIAN COLOUR COATED ISPAT LTD,PLOT NO.7-12 SECTOR-6 HSIIDC  GROWT, ,REWARI,123501,asanengineers@gmail.com, ,,,,,1001205,MG04,Distributor,,1,0,,,,
EXPO PROJECT ENGINEERING SERVICES P,C/O GAIL PETROCHEMICAL COMPLEX II, ,GUNA,473112,asanengineers@gmail.com, ,,,,,1001206,MG04,Distributor,,1,0,,,,
SHIVAM ENTERRPRISES,OPP: PETROL BUNK SAVALANGA ROAD, ,SHIVAMOGGA,577203,shivamenterrprises@gmail.com, ,,,,,1001207,MG03,Distributor,,1,-672563,,,,
BHARAT PETROLEUM CORPORATION LTD,A/C. DRIPLEX WATER ENGINEERING LIMITED., ,ERNAKULAM,682302,asanengineers@gmail.com, ,,,,,1001208,MG04,Distributor,,1,0,,,,
IOCL GUWAHATI REFINERY,CONTRACT CELL NOONMATI , ,GUWAHATI,781020,asanengineers@gmail.com, ,,,,,1001209,MG04,Distributor,,1,0,,,,
PRAYUG AGRO PVT. LTD.,A-21-22 G.I.D.C., ,KALOL,382721, , ,,,,,1001210,MG01,Distributor,,1,0,,,,
PETROTECH INTERNATIONAL,SY NO. 65/4-A2 3RD CROSS    RANGANA, ,BANGALORE,560079, ,9342950666,,,,,2000021,MG05,Distributor,,1,0,,,,
BUILDING SERVICES ENGINEERING (PVT),NO. 122 DAWSON STREET , ,COLOMBO,2, , ,,,,,2000022,MG05,Distributor,,1,0,,,,
OCEAN POLYMERS,SHOP NO.18 & 19   SR NO.86/1 &2  RA, ,DAMAN,396210, , ,,,,,2000024,MG05,Distributor,,1,0,,,,
JACCUZI ENTERPRISES,N.H.-28 BHAGWANPUR , ,MUZAFFARPUR,842002,rrajeev79@gmail.com, ,,,,,1000275,MG08,Distributor,,1,0,,,,
KRISHNA ENTERPRISE,302 KALASH COMPLEX II  1ST FLOOR NR, ,AHMEDABAD,380009,info@krishnapipes.com,98797832229,,,,,1000276,MG04,Distributor,,1,-11792188.35,,,,
KRISHI UDYOGA,762  KALMATH ROAD  NEAR PIONEER BAN, ,BELGAUM,590001,krishiudyogbelgaum@gmail.com,9448361341,,,,,1000277,MG03,Distributor,,1500000,17789,,,,
SHAH MARKETING CORPORATION...,GAT NO 26/1 + 27 GRAMPANCHAYAT LONI, ,HAVELI,412308,vjs5151@gmail.com, ,,,,,1000278,MG02,Distributor,,1,8164,,,,
KARAIKAL CHLORATES,S.NO.222  MELAKASKUDY VILLAGE  NEDU, ,KARAIKAL,609603, , ,,,,,1000279,MG04,Distributor,,1,0,,,,
KARNATAKA PIPE CENTRE,NO.635  ASHOKA ROAD , ,MYSORE,570024,kpc_mysore@yahoo.com, ,,,,,1000280,MG03,Distributor,,6200000,1899404,,,,
K.S.WIRE NETTING IND.,RAINBOW COMPLEX OLD PHAGWARA ROAD , ,JALANDHAR,144005,bhardwaj.btindia@gmail.com, ,,,,,1000281,MG07,Distributor,,1000000,-74591.79,,,,
KOTTAYAM PIPE HOUSE,XVI/181 MALIEKAL BUILDINGS  NR.RAIL, ,KOTTAYAM,686001,kottayampipehouse@yahoo.in,9744655858,,,,,1000282,MG06,Distributor,,1500000,-3345319,,,,
K.B.AJMERA & CO.,232 YUSUF MEHERALI ROAD, ,MUMBAI,400003,h.ajmera@sbajmera.com, ,,,,,1000283,MG10,Distributor,,10000000,-279299.17,,,,
KHANDESH STEEL CENTRE,DONDAICHA ROAD  DIST: NANDURBAR, ,SHAHADA,425409,khandeshsteel52@gmail.com,9422791401,,,,,1000284,MG10,Distributor,,2000000,-2448722,,,,
KARWA INTERIOR,KARWA ARCADE'    KHAPARDE GARDEN, ,AMRAVATI,444601,ikarwa@yahoo.in,9405348081,,,,,1000285,MG10,Distributor,,2000000,-1847542.12,,,,
KAJARIA PIPES,85 JOLLY MAKER CHAMBER NO 2  NARIMA, ,MUMBAI,400021,sales@kajariapipes.com,9820222308,,,,,1000286,MG10,Distributor,,40000000,-5035413.78,,,,
OM TRADING COMPANY,COLLEGE CORNER , ,SANGLI,416436, , ,,,,,1000287,MG02,Distributor,,1,-80490,,,,
KEERTHI ENTERPRISES,KARTHIKA BUILDING BETHEL ROAD  THIT, ,CHEHGANNUR,689121, , ,,,,,1000288,MG03,Distributor,,1,0,,,,
KARNATAKA POWER CORPORATION LTD.,THE EXECUTIVE ENGINEER(S-O & M)  RT, ,RAICHUR,584170,financertps@gmail.com, ,,,,,1000289,MG04,Distributor,,1,-174691,,,,
KISHORE SALES CORP.,RAILWAY ROAD NR. CENTRAL BANK OF IN, ,TARN TARAN,143401,kishorejindal@gmail.com,9815624945,,,,,1000290,MG07,Distributor,,1500000,-22668.72,,,,
KISAN PIPE CENTRE,RAILLIES PLOTS  NEAR JAISTAMB SQUAR, ,AMRAVATI,444601,KISANPIPECENTREAMRAVATI@GMAIL.COM,94221554349,,,,,1000291,MG10,Distributor,,2000000,1065053,,,,
KEERTHI ENTERPRISES,NO:74 75 & 107 3RD CROSS 1ST MAIN R, ,BANGALORE,560027, , ,,,,,1000293,MG03,Distributor,,1,0,,,,
KAVERI HARDWARES,RADHAKRISHNA MANSION  NEAR CANARA B, ,KUSHALNAGAR,571234, , ,,,,,1000294,MG03,Distributor,,1000000,-76195.14,,,,
V.S.DUCLO & SON,GAJANAN NIWAS PROF. RAMCHANDRA NAIK, ,PANJIM,403001,gajanandukle@hotmail.com,9822155055,,,,,1000295,MG02,Distributor,,1000000,32016,,,,
KENCHETTY MERCHANTS,RACE COURSE ROAD  OPP LIC BUILDING, ,MADIKERI,571201,kenchetty@yahoo.com,9845831719,,,,,1000292,MG03,Distributor,,1000000,-507741,,,,
MAA INCORPORATION,SB 60  AAVISHKAR COMPLEX , ,VADODARA,390015,niks_2772@yahoo.co.in,9825581750,,,,,1001221,MG12,Distributor,,1,3219,,,,
BIRLA CORPORATION LIMITED,UNIT CHANDERIA POWER CHANDERIA, ,CHANDERIA,312021,bhatnagarengineers@yahoo.com, ,,,,,1001222,MG04,Distributor,,1,0,,,,
DAE MEDICAL CYCLOTRON PROJECT,DEPARTMENT OF ATOMIC ENERGY, ,KOLKOTA,700094,postorder@aquadesigns.in, ,,,,,1001223,MG04,Distributor,,1,0,,,,
SASAN POWER LIMITED (CHARGE STORES),SASAN VILLAGE  SIDHIKURD, ,SINGRAULI,486886,asanengineers@gmail.com, ,,,,,1001224,MG04,Distributor,,1,0,,,,
LAKSHMI VENKATESWARA ENTERPRISES,D.NO.18/2B-1  B.S.R. COMPLEX , ,PATTIKONDA,518380, , ,,,,,1001225,MG08,Distributor,,1,2840,,,,
SUBHGA ENTERPRISES,1046  NEW MARKET  JHOKAN BAGH, ,JHANSI,284001,subhga@gmail.com, ,,,,,1001226,MG07,Distributor,,1,43933,,,,
RELIANCE INDUSTRIES LTD,AURORA alVP Project Site  Survey No, ,JAMNAGAR,361140,jayanta.bhattacherjee@ril.com, ,,,,,1001227,MG04,Distributor,,1,-431411,,,,
SUNDEW PROPERTIES LTD. - SEZ,SURVEY NO.64  MINDSPACE, ,HYDERABAD,500081,jkumar@kraheja.com, ,,,,,1001228,MG01,Distributor,,1,0,,,,
NAMAN ENTERPRISES,128/71  Y BLOCK , ,KANPUR,208011,namanent_hindustan@rediffmail.com, ,,,,,1001229,MG08,Distributor,,1,1238,,,,
RELIANCE INDUSTRIES LTD,AURORA alVP Project Site  Survey No, ,JAMNAGAR,361140,jayanta.bhattacherjee@ril.com, ,,,,,1001230,MG04,Distributor,,1,0,,,,
HINDALCO INDUSTRIES LIMITED,HIRAKUD POWER  SAMBALPUR, ,HIRAKUD,768016,lathgroup@rediffmail.com,9437144945,,,,,1001231,MG04,Distributor,,1,0,,,,
JANI AGENCIES,D.NO:8/3/25/2 OPP:CHINNA MASZID , ,SATTENAPALLI,522403,jani.janibrothers@gmail.com, ,,,,,1001232,MG08,Distributor,,1,2104,,,,
K.D.N. ELECTRICALS,27-B  PLOT NO:A-25  9 to 12 , ,SURAT,394210,narendragdeshmukh@gmail.com,9879516000,,,,,1001233,MG12,Distributor,,1,50094,,,,
INDIA GLYCOLS LIMITED,KASHIPUR CHEMICAL PLANT, ,UDHAM SINGH NAGAR,244713,asanengineers@gmail.com, ,,,,,1001234,MG04,Distributor,,1,0,,,,
ABHISHEK MILLENNIUM CONTRACTS PVT.,VAGATORE BEACH IN GOA  BARDEZ GOA , ,GOA,403509,jagannath@amcplindia.com,8805594804,,,,,1001235,MG10,Distributor,,1,-160086,,,,
SOTRAVIC LIMITEE,LA TOUR KOENIG , ,MAURITIUS,11109, , ,,,,,2000015,MG05,Distributor,,1,0,,,,
UNDERGROUND SOLUTIONS INC.,13135 DANIELSON STREET SUITE 201 , ,POWAY,92064, , ,,,,,2000017,MG05,Distributor,,1,0,,,,
VOLTAS LIMITED,PO BOX 23458 , ,DOHA,., , ,,,,,2000018,MG05,Distributor,,1,0,,,,
